[Header]	
System	TOC-L	
S/W Version	1.00	
User		
Date/Time	5/07/2018 11:21:12 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 3:41:28 PM	1	1	TC	32.12	10.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 3:44:10 PM	1	2	TC	31.60	10.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 3:50:52 PM	2	1	TC	69.42	20.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 3:53:33 PM	2	2	TC	68.48	20.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 4:02:20 PM	3	1	TC	188.2	50.00	 	1	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 4:05:24 PM	3	2	TC	180.8	50.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 4:10:33 PM	3	3	TC	180.5	50.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 4:17:02 PM	4	1	TC	359.9	100.0	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal		1.00		4/07/2018 4:19:56 PM	4	2	TC	363.0	100.0	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:28:31 PM	1	1	IC	30.26	10.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:30:39 PM	1	2	IC	29.57	10.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:36:27 PM	2	1	IC	66.16	20.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:38:44 PM	2	2	IC	65.02	20.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:44:32 PM	3	1	IC	168.7	50.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:47:19 PM	3	2	IC	171.2	50.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:53:50 PM	4	1	IC	342.7	100.0	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal		1.00		4/07/2018 4:56:02 PM	4	2	IC	337.6	100.0	 	0	50	
Unknown	TOC	1400m_SP1_HWC_diluted1to20	60	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal	1.00		4/07/2018 5:01:42 PM	1	1	TC	140.3	38.31	TOC:37.92mg/L TC:38.27mg/L IC:0.3436mg/L	0	50	
Unknown	TOC	1400m_SP1_HWC_diluted1to20	60	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal	1.00		4/07/2018 5:04:34 PM	1	2	TC	140.8	38.45	TOC:37.92mg/L TC:38.27mg/L IC:0.3436mg/L	0	50	
Unknown	TOC	1400m_SP1_HWC_diluted1to20	60	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal	1.00		4/07/2018 5:07:22 PM	1	3	TC	139.3	38.04	TOC:37.92mg/L TC:38.27mg/L IC:0.3436mg/L	0	50	
Unknown	TOC	1400m_SP1_HWC_diluted1to20	60	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal	1.00		4/07/2018 5:09:56 PM	1	1	IC	0.7569	0.2198	TOC:37.92mg/L TC:38.27mg/L IC:0.3436mg/L	0	50	
Unknown	TOC	1400m_SP1_HWC_diluted1to20	60	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal	1.00		4/07/2018 5:12:21 PM	1	2	IC	1.696	0.4926	TOC:37.92mg/L TC:38.27mg/L IC:0.3436mg/L	0	50	
Unknown	TOC	1400m_SP1_HWC_diluted1to20	60	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal	1.00		4/07/2018 5:14:29 PM	1	3	IC	1.096	0.3183	TOC:37.92mg/L TC:38.27mg/L IC:0.3436mg/L	0	50	
Unknown	TOC	1100m_SP4_HWC_diluted1to20	61	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal	1.00		4/07/2018 5:20:07 PM	1	1	TC	107.6	29.38	TOC:28.96mg/L TC:29.35mg/L IC:0.3984mg/L	0	50	
Unknown	TOC	1100m_SP4_HWC_diluted1to20	61	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal	1.00		4/07/2018 5:23:03 PM	1	2	TC	108.1	29.52	TOC:28.96mg/L TC:29.35mg/L IC:0.3984mg/L	0	50	
Unknown	TOC	1100m_SP4_HWC_diluted1to20	61	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_04_15_33_35.cal	1.00		4/07/2018 5:25:57 PM	1	3	TC	106.8	29.16	TOC:28.96mg/L TC:29.35mg/L IC:0.3984mg/L	0	50	
Unknown	TOC	1100m_SP4_HWC_diluted1to20	61	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal	1.00		4/07/2018 5:28:31 PM	1	1	IC	1.267	0.3680	TOC:28.96mg/L TC:29.35mg/L IC:0.3984mg/L	0	50	
Unknown	TOC	1100m_SP4_HWC_diluted1to20	61	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_04_16_19_56.cal	1.00		4/07/2018 5:31:09 PM	1	2	IC	1.733	0.5033	TOC:28.96mg/L TC:29.35mg/L IC:0.3984mg/L	0	50	
